Fecha,Hora,Place,humedad_suelo,humedad_amb,temperatura
10 03 23,09:30:07,sala,93.8684,36.6,23.8
10 03 23,09:30:13,cuarto,62.3032,26.0,23.0
10 03 23,09:35:06,sala,93.8684,36.4,23.8
10 03 23,09:35:13,cuarto,61.90959,26.0,23.0
10 03 23,09:40:03,sala,93.8684,35.9,23.8
10 03 23,09:40:06,cuarto,61.71279,24.0,23.0
10 03 23,09:45:07,sala,93.8684,35.7,23.9
10 03 23,09:45:14,cuarto,62.05719,25.0,23.0
10 03 23,09:50:06,sala,93.8684,35.0,23.8
10 03 23,09:50:14,cuarto,61.61439,24.0,23.0
10 03 23,09:55:06,sala,93.8684,34.5,23.9
10 03 23,09:55:14,cuarto,61.61439,23.0,23.0
10 03 23,10:00:06,sala,93.8684,34.4,23.9
10 03 23,10:00:14,cuarto,61.81119,25.0,23.0
10 03 23,10:05:07,sala,93.8684,35.1,23.9
10 03 23,10:05:15,cuarto,61.36839,22.0,23.0
10 03 23,10:10:07,sala,93.8684,34.5,24.0
10 03 23,10:10:15,cuarto,61.36839,21.0,23.0
10 03 23,10:15:03,sala,93.8684,32.8,24.1
10 03 23,10:15:09,cuarto,62.10639,21.0,23.0
10 03 23,10:20:04,sala,93.8684,33.1,24.0
10 03 23,10:20:09,cuarto,62.3032,21.0,23.0
10 03 23,10:25:04,sala,93.8684,33.1,24.0
10 03 23,10:25:09,cuarto,62.20479,20.0,23.0
10 03 23,10:30:04,sala,93.8684,32.8,24.0
10 03 23,10:30:09,cuarto,61.81119,21.0,23.0
10 03 23,10:35:04,sala,93.8684,34.6,24.2
10 03 23,10:35:10,cuarto,61.51599,24.0,23.0
10 03 23,10:40:05,sala,93.8684,34.6,24.2
10 03 23,10:40:10,cuarto,61.71279,21.0,23.0
10 03 23,10:45:06,sala,93.8684,34.4,24.3
10 03 23,10:45:10,cuarto,62.10639,19.0,23.0
10 03 23,10:50:06,sala,93.8684,33.3,24.2
10 03 23,10:50:10,cuarto,61.90959,20.0,24.0
10 03 23,10:55:06,sala,93.8684,33.3,24.2
10 03 23,10:55:09,cuarto,61.61439,20.0,24.0
10 03 23,11:00:07,sala,93.6716,33.4,24.2
10 03 23,11:00:17,cuarto,61.36839,20.0,24.0
10 03 23,11:05:08,sala,93.6716,33.9,24.2
10 03 23,11:05:17,cuarto,62.10639,21.0,24.0
10 03 23,11:10:05,sala,93.8684,33.5,24.2
10 03 23,11:10:09,cuarto,61.66359,21.0,24.0
10 03 23,11:15:05,sala,93.6716,33.9,24.2
10 03 23,11:15:09,cuarto,61.90959,22.0,24.0
10 03 23,11:20:05,sala,93.6716,33.3,24.3
10 03 23,11:20:09,cuarto,61.66359,19.0,24.0
10 03 23,11:25:05,sala,93.6716,32.5,24.2
10 03 23,11:25:09,cuarto,62.3032,19.0,24.0
10 03 23,11:30:06,sala,93.6716,33.6,24.3
10 03 23,11:30:09,cuarto,62.05719,21.0,24.0
10 03 23,11:35:07,sala,93.6716,32.7,24.3
10 03 23,11:35:17,cuarto,61.95879,19.0,24.0
10 03 23,11:40:07,sala,93.6716,33.6,24.4
10 03 23,11:40:10,cuarto,61.51599,21.0,24.0
10 03 23,11:45:07,sala,93.6716,32.6,24.4
10 03 23,11:45:11,cuarto,62.1556,20.0,24.0
10 03 23,11:50:07,sala,93.6716,32.1,24.4
10 03 23,11:50:11,cuarto,61.81119,17.0,24.0
10 03 23,11:55:04,sala,93.6716,33.0,24.5
10 03 23,11:55:11,cuarto,61.41759,17,24
